Title,Nb rating,Prices,Nb visits,Rating,Annulation,Duration,Language,City,lat,lon,image
Visite privée en limousine dans New York,-1,"36,80 €",255 voyageurs,-1,"Gratuit ! Annulez sans frais jusqu'à 3 jours avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,Anglais,new-york,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/limusina-nueva-york.jpg
"Excursion à Southampton, Sag Harbor et Tanger Outlets",-1,"590,50 €",24 voyageurs,-1,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",1 jour,Français,new-york,40.75667,-73.99111,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/southampton.jpg
"Billet pour MJ, la comédie musicale de Michael Jackson",4,"159,60 €",4 voyageurs,"9,50 / 10",Non remboursable. Cette activité n'admet aucune annulation ou modification.,2 heures,-1,new-york,40.763145,-73.984315,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/actor-musical-michael-jackson.jpg
Visite guidée dans Central Park,-1,"181,40 €",99 voyageurs,-1,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,Français,new-york,40.78320704415846,-73.9736073,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/lago-central-park.jpg
Balade en bateau à grande vitesse,6,69 €,1 409 voyageurs,"8,70 / 10",Non remboursable. Cette activité n'admet aucune annulation ou modification.,30 minutes,Anglais,new-york,40.762668,-74.001401,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/the-beast-estatua-libertad.jpg
Visite gastronomique à pied dans Harlem,-1,"28,30 €",1 534 voyageurs,-1,"Gratuit ! Annulez sans frais jusqu'à 15 jours avant l'activité. Si vous annulez avec plus de 48 heures d’avance, nous vous rembourserons 85%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",4 heures,Anglais,new-york,40.758294,-73.989046,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/soul-food-pollo-frito.jpg
Visite privée dans New York à vélo,-1,"93,50 €",2 275 voyageurs,-1,"Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",2 heures,Français,new-york,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/brooklyn-bridge-bike.jpg
Visite à la découverte du Sud de Manhattan,-1,187 €,20 voyageurs,-1,"Gratuit ! Annulez sans frais jusqu'à 7 jours avant l'activité. Si vous annulez avec plus de 3 jours d’avance, nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,Français,new-york,40.703514,-74.01084,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/fearlessgirl-manhattan-nueva-york.jpg
"Visite guidée de SoHo, Greenwich Village et Meatpacking District",-1,"51,90 €",315 voyageurs,-1,"Si vous annulez avec plus de 3 jours d’avance, nous vous rembourserons 50%. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,Français,new-york,40.721995010086644,-73.99734288625493,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/tienda-musica-alternativa.jpg
Visite de Central Park en trottinette électrique,4,49 €,2 voyageurs,"5,50 / 10","Gratuit ! Annulez sans frais jusqu'à 48 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",2 heures,Français,new-york,40.7664739,-73.9800485,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/puente-bow-central-park.jpg
