Title,Nb rating,Prices,Nb visits,Rating,Annulation,Duration,Language,City,lat,lon,image
Vol en hélicoptère de nuit à New York,26.0,140.7,480 voyageurs,9.3,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",30 minutes,[1],New York,40.6157109,-74.2456057,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/helicotero-nueva-york.jpg
Billet pour Le Fantôme de l'Opéra,265.0,230.5,2 901 voyageurs,9.0,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,[-1],New York,40.758526,-73.988142,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/fantasma-opera-1.jpg
The New York Pass®,284.0,116.2,7 570 voyageurs,8.6,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",1 jour - 10 jours,[-1],New York,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/estatua-libertad.jpg
Excursion à Philadelphie et dans un comté Amish,14.0,134.1,169 voyageurs,8.3,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",14 heures,[2],New York,40.75763,-73.99158,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/filadelfia.jpg
Billet pour Chicago,78.0,159.6,712 voyageurs,9.6,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30,[-1],New York,40.761182,-73.987136,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/chicago-1.jpg
"Excursion de 4 jours à Niagara, à Washington et à Philadelphie",-1.0,104.8,20 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",4 jours,[2],New York,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/cementerio-arlington.jpg
Billet pour Top of the Rock + Musée du 11-Septembre,6.0,741.7,263 voyageurs,7.3,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2 jours,[-1],New York,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/vista-nueva-york-atardecer-top-of-the-rock.jpg
Excursion à vélo dans le Brooklyn insolite,-1.0,66.1,6 voyageurs,-1.0,Non remboursable. Cette activité n'admet pas d'annulation.,6 heures,[2],New York,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/bicicleta-brooklin-nueva-york.jpg
Excursion d'une journée à Boston,10.0,99.0,135 voyageurs,8.6,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",14 heures,[2],New York,40.7568546,-73.99146523,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/boston.jpg
Visite privée dans New York,2.0,159.6,5 voyageurs,10.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[2],New York,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/manhattan-paysage.jpg
